n,t,Term,id,paper_list,affiliation
Martin Rajman,P2P network; Query-driven indexing; indexing term combination; query-driven indexing structure; P2P text retrieval; retrieval performance; indexing feature; indexing strategy; key-based indexing; query-driven indexing strategy,"['p2p', 'network', 'query-driven', 'index', 'index', 'term', 'combin', 'query-driven', 'index', 'structur', 'p2p', 'text', 'retriev', 'retriev', 'perform', 'index', 'featur', 'index', 'strategi', 'key-bas', 'index', 'query-driven', 'index', 'strategi']",38468,"1. Automated Information Extraction out of Classified Advertisements, 2. ISIS: Interaction through Speech with Information Systems, 3. Text Mining at the Term Level, 4. An FPGA-Based Syntactic Parser for Real-Life Almost Unrestricted Context-Free Grammars, 5. Monte-Carlo Sampling for NP-Hard Maximization Problems in the Framework of Weighted Parsing","School of Computer and Communication Sciences EPFL, Lausanne, Switzerland;EPFL;Artificial Intelligence Laboratory, Lausanne, Switzerland;LIA, Ecole, Polytechnique, Lausanne, Switzerland
"
David M. Geary,Graphic Java; Java Foundation Classes; JavaServer Faces; GWT application; Core JavaServer Faces; David Geary; Core JavaServer; JavaServer Pages technology; JSP technology; JSF application,"['graphic', 'java', 'java', 'foundat', 'class', 'javaserv', 'face', 'gwt', 'applic', 'core', 'javaserv', 'face', 'david', 'geari', 'core', 'javaserv', 'javaserv', 'page', 'technolog', 'jsp', 'technolog', 'jsf', 'applic']",38477,"1. Graphic Java: mastering the AWT, 2. Graphic Java 2 (3rd ed.): mastering the JFC (Volume II SWING), 3. Graphic Java 1.2 (3rd ed.), 4. Graphic Java Mastering the AWT (with CD-ROM), 5. Advanced JavaServer Pages","JavaSoft's
"
Sergey Smirnov,process model; business process; business process model; business process model abstraction; abstract process model; business process management; effective process model abstraction; industrial process model repository; large process specification; real-world process model,"['process', 'model', 'busi', 'process', 'busi', 'process', 'model', 'busi', 'process', 'model', 'abstract', 'abstract', 'process', 'model', 'busi', 'process', 'manag', 'effect', 'process', 'model', 'abstract', 'industri', 'process', 'model', 'repositori', 'larg', 'process', 'specif', 'real-world', 'process', 'model']",38495,"1. Finite Volume Formulation of Compact Upwind and Central Schemes with Artificial Selective Damping, 2. A finite volume formulation of compact central schemes on arbitrary structured grids, 3. Optimization of time integration schemes coupled to spatial discretization for use in CAA applications, 4. Process Model Abstraction: A Slider Approach, 5. Structural Aspects of Business Process Diagram Abstraction","Business Process Technology Group, Hasso Plattner Institute at the University of Potsdam, Potsdam, Germany D14482
"
Stuart W. Shulman,computer skill; digital government; public comment; software training; digital citizenship; text analytic software; work advances text mining; near-duplicate detection; near-duplicate text; new text processing tool,"['comput', 'skill', 'digit', 'govern', 'public', 'comment', 'softwar', 'train', 'digit', 'citizenship', 'text', 'analyt', 'softwar', 'work', 'advanc', 'text', 'mine', 'near-dupl', 'detect', 'near-dupl', 'text', 'new', 'text', 'process', 'tool']",38505,"1. Electronic rulemaking: a public participation research agenda for the social sciences, 2. Give the people what they want: research notes from the hunt for better electronic rulemaking, 3. Building new curricula for digital government studies dg.o2005 birds of a feather session, 4. Digital citizenship: parameters of the digital divide, 5. Generational differences in informational technology use & political involvement","Drake University;University of Pittsburgh, Pittsburgh, PA;University  Olin Hall, Des Moines, IA;University of Massachusetts Amherst
"
David F. Kotz,mobile agent; wireless network; parallel file system; access point; multiprocessor file system; sensor data; mobile computer; mobile phone; data quality requirement; source data,"['mobil', 'agent', 'wireless', 'network', 'parallel', 'file', 'system', 'access', 'point', 'multiprocessor', 'file', 'system', 'sensor', 'data', 'mobil', 'comput', 'mobil', 'phone', 'data', 'qualiti', 'requir', 'sourc', 'data']",38525,"1. Prefetching and caching techniques in file systems for MIMD multiprocessors, 2. Efficient i/o for computational grid applications, 3. Solar: building a context fusion network for pervasive computing, 4. Evaluating opportunistic routing protocols with large realistic contact traces, 5. Poster: practical trusted computing for mhealth sensing","Dartmouth College;Thayer School of Engineering/Department of Computer Science, Dartmouth College, Hanover;IEEE
"
D. F. Kotz,O request; O system; O performance; parallel application; effective parallel file system; out-of-core computationNew file system; temporary file; traditional file system; O architecture; O benchmarks,"['o', 'request', 'o', 'system', 'o', 'perform', 'parallel', 'applic', 'effect', 'parallel', 'file', 'system', 'out-of-cor', 'computationnew', 'file', 'system', 'temporari', 'file', 'tradit', 'file', 'system', 'o', 'architectur', 'o', 'benchmark']",38541,1. Prefetching in File Systems for MIMD Multiprocessors,"
"
Mitch Cherniack,query processing; query plan; data management; data source; erroneous query result; historical query; intermediate query result; query expression; query representation; query result,"['queri', 'process', 'queri', 'plan', 'data', 'manag', 'data', 'sourc', 'erron', 'queri', 'result', 'histor', 'queri', 'intermedi', 'queri', 'result', 'queri', 'express', 'queri', 'represent', 'queri', 'result']",38572,"1. Rule languages and internal algebras for rule-based optimizers, 2. Changing the rules: transformations for rule-based optimizers, 3. Visual COKO: a debugger for query optimizer development, 4. Inferring Function Semantics to Optimize Queries, 5. Data Management for Pervasive Computing","Department of Computer Science, Brown Umversity;Department of Computer Science, Brown University, Providence, RI;Brandeis University;StreamBase, Inc. Lexington, MA
"
E. N. Smirnov,point classifier; reliable classification; class region; region classifier; Meta-conformity approach; ROC isometrics approach; approach result; non-conformity function; classifier B; classifier B.,"['point', 'classifi', 'reliabl', 'classif', 'class', 'region', 'region', 'classifi', 'meta-conform', 'approach', 'roc', 'isometr', 'approach', 'approach', 'result', 'non-conform', 'function', 'classifi', 'b', 'classifi', 'b.']",38575,"1. Multiple explanation-based learning guided by the candidate elimination algorithm, 2. A Unifying Version-Space Representation, 3. Theoretical and Experimental Study of a Meta-Typicalness Approach for Reliable Classification, 4. Generalizing Version Space Support Vector Machines for Non-Separable Data, 5. Region Classification with Decision Trees","Institute for Knowledge and Agent Technologies, Department of Computer Science, Maastricht University, P.O. Box 616, 6200 MD Maastricht, The Netherlands Email:  <rfc822>smirnov@cs.unimaas.nl</rfc ...
"
Pawel Urzyczyn,intersection type; inhabitation problem; subtyping problem; infinite tree; Typed Lambda Calculi; International Conference; ML typability; MSO theory; monadic second-order theory; different type,"['intersect', 'type', 'inhabit', 'problem', 'subtyp', 'problem', 'infinit', 'tree', 'type', 'lambda', 'calculi', 'intern', 'confer', 'ml', 'typabl', 'mso', 'theori', 'monad', 'second-ord', 'theori', 'differ', 'type']",38591,"1. Nontrivial definability by flow-chart programs, 2. Necessary and sufficient conditions for the universality of programming formalisms, 3. ""During"" cannot be expressed by ""After"", 4. Primitive recursion with existential types, 5. Comparing Cubes","University of Warsaw, Warszawa, Poland;Institute of Informatics, Wansaw University, ul. Banacha 2, 02097 Warsaw, Poland
"
Gordon W. Paynter,digital library; LennyHarvested metadata; associate metadata; metadata enhancement; metadata enhancement service; practical automatic metadata assignment; separate metadata file; specific metadata problem; document keyphrases; source document,"['digit', 'librari', 'lennyharvest', 'metadata', 'associ', 'metadata', 'metadata', 'enhanc', 'metadata', 'enhanc', 'servic', 'practic', 'automat', 'metadata', 'assign', 'separ', 'metadata', 'file', 'specif', 'metadata', 'problem', 'document', 'keyphras', 'sourc', 'document']",38629,"1. Browsing in digital libraries: a phrase-based approach, 2. KEA: practical automatic keyphrase extraction, 3. Scalable browsing for large collections: a case study, 4. Domain-independent programming by demonstration in existing applications, 5. Human evaluation of Kea","Department of Computer Science, University of Waikato, Hamilton, New Zealand;University of California, Riverside, CA;The INFOMINE Project, Riverside, CA;National Library of New Zealand, Wellington 6001, New Zealand
"
Young K. Baek,media characteristic; meta-cognitive strategy; gaming achievement; virtual world; digital game-based learning; game-based learning; Mobile Learning; social problem; gaming activity; academic achievement,"['media', 'characterist', 'meta-cognit', 'strategi', 'game', 'achiev', 'virtual', 'world', 'digit', 'game-bas', 'learn', 'game-bas', 'learn', 'mobil', 'learn', 'social', 'problem', 'game', 'activ', 'academ', 'achiev']",38651,"1. Color, 2. graphics, 3. and animation in a computer-assisted learning tutorial lesson","Georgia State Univ., Atlanta;Korea National University of Education, S. Korea;Educational Technology, Boise State University, United States
"
G W. Furnas,representation construction; multiscale collaboration; system design; design implication; design principle; design space; environmental locomotional design; navigational design; multiscale tool; multiscale virtual environment,"['represent', 'construct', 'multiscal', 'collabor', 'system', 'design', 'design', 'implic', 'design', 'principl', 'design', 'space', 'environment', 'locomot', 'design', 'navig', 'design', 'multiscal', 'tool', 'multiscal', 'virtual', 'environ']",38662,1. Statistical semantics: analysis of the potential performance of keyword information systems,"Bell Communications Research, 435 South St., Morristown, New Jersey;School of Information, University of Michigan;School of Information, University of Michigan, Ann Arbor, MI
"
Jose M. Such,agent group; Multi-agent Systems; information processing; personal information; Multiagent Systems; privacy loss; multiagent platform; data identifiability; information collection; Magentix Multiagent Platform,"['agent', 'group', 'multi-ag', 'system', 'inform', 'process', 'person', 'inform', 'multiag', 'system', 'privaci', 'loss', 'multiag', 'platform', 'data', 'identifi', 'inform', 'collect', 'magentix', 'multiag', 'platform']",38663,"1. Exploiting temporal locality in drowsy cache policies, 2. Performance evaluation of open-source multiagent platforms, 3. Scalable and Efficient Multiagent Platform Closer to the Operating System, 4. A Secure Group-Oriented Model for Multiagent Systems, 5. Kerberos-Based Secure Multiagent Platform","Polytechnic University of Valencia, Valencia, Spain;Lancaster University, Lancaster, UK
"
Yunju Baek,proposed method; precision time synchronization; time synchronization; time difference; real time; reliable time synchronization protocol; time representation error; port terminal; fault tolerant time synchronization; precision time protocol,"['propos', 'method', 'precis', 'time', 'synchron', 'time', 'synchron', 'time', 'differ', 'real', 'time', 'reliabl', 'time', 'synchron', 'protocol', 'time', 'represent', 'error', 'port', 'termin', 'fault', 'toler', 'time', 'synchron', 'precis', 'time', 'protocol']",38680,"1. Robust Image Watermark Using Radon Transform and Bispectrum Invariants, 2. A Ranking Algorithm Using Dynamic Clustering for Content-Based Image Retrieval, 3. Re-ranking algorithm using post-retrieval clustering for content-based image retrieval, 4. Erratum to ""Re-ranking algorithm using post-retrieval clustering for content-based image retrieval"", 5. Design and Implementation of an Active RFID System Platform","Division of Computer Science, Department of Electrical Engineering and Computer Science, Korea Advanced Institute of Science and Technology, 3731 KusungDong YusongGu, Taejon 305701, Republic o ...;Division of Computer Science and Engineering, Pusan National University, San30, Jangjeondong, Keumjeonggu, Busan 609735, Republic of Korea
"
